measures,correlation_array
degree,"[[1.         0.60201869]
 [0.60201869 1.        ]]"
density,"[[ 1.         -0.85388152]
 [-0.85388152  1.        ]]"
global_efficiency,"[[ 1.         -0.86677604]
 [-0.86677604  1.        ]]"
transitivity,"[[ 1.         -0.90261074]
 [-0.90261074  1.        ]]"
assortavity,"[[1.         0.71121378]
 [0.71121378 1.        ]]"
clustering_coef,"[[ 1.         -0.98625331]
 [-0.98625331  1.        ]]"
fiedler_value,"[[ 1.         -0.55471921]
 [-0.55471921  1.        ]]"
